4163|2024-10-14|FU|1
812|2024-09-30|FU|1
728|2024-09-09|FU|4
724|2024-09-02|FU|3
4183|2024-08-26|FU|5
6922|2024-08-19|FU|3
2789|2024-08-12|CH|3
9526|2024-07-29|CH|1
2797|2024-07-22|CH|1
877|2024-07-15|CH|1
7542|2024-07-08|CH|1
4747|2024-06-10|FU|2
4727|2024-06-03|FU|1
2925|2024-05-20|CH|3
4680|2024-05-13|FU|4
4665|2024-05-06|FU|2
2867|2024-04-15|CH|2
6963|2024-04-08|CH|1
8375|2024-04-01|CH|1
4590|2024-03-18|FU|2
4583|2024-03-11|FU|4
4562|2024-03-04|FU|4
7874|2024-02-26|CH|1
4547|2024-02-19|FU|4
398|2024-02-12|CH|2
4504|2024-02-05|FU|2
8391|2024-01-22|FU|2
8163|2024-01-15|FU|1
8169|2024-01-08|FU|2
2831|2024-01-01|CH|2
